RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
dblp:inYear	year_51	0.1099
dblp:publishedIn	venue_1491	0.1338
dblp:hasAuthor	author_234951	0.1407
dblp:publishedIn	venue_749	0.1151
dblp:hasAuthor	author_6988	0.0914
dblp:wrote	pub_128490	0.0823
dblp:publishedIn	venue_220	0.1623
dblp:wrote	pub_1341	0.1036
dblp:publishedIn	venue_310	0.1310
dblp:inYear	year_51	0.0874
dblp:hasAuthor	author_240398	0.1157
dblp:hasAuthor	author_61390	0.1086
dblp:hasAuthor	author_164459	0.0823
dblp:hasAuthor	author_54416	0.1048
dblp:wrote	pub_183009	0.0874
dblp:inYear	year_53	0.0969
dblp:wrote	pub_123664	0.0807
dblp:inYear	year_53	0.1087
dblp:inYear	year_38	0.1016
dblp:wrote	pub_27157	0.0882
dblp:inYear	year_53	0.1421
dblp:inYear	year_9	0.1334
dblp:inYear	year_53	0.1047
dblp:inYear	year_37	0.1090
dblp:hasAuthor	author_28877	0.1525
dblp:inYear	year_48	0.1162
dblp:publishedIn	venue_170	0.1210
dblp:inYear	year_53	0.1319
dblp:wrote	pub_36250	0.0989
dblp:hasAuthor	author_177718	0.0924
dblp:publishedIn	venue_1390	0.1192
dblp:wrote	pub_94267	0.0980
dblp:wrote	pub_108226	0.0974
dblp:publishedIn	venue_237	0.1907
dblp:hasAuthor	author_137717	0.0706
dblp:hasAuthor	author_1154	0.1093
dblp:inYear	year_51	0.1202
dblp:publishedIn	venue_37	0.1300
dblp:wrote	pub_52864	0.1169
dblp:inYear	year_54	0.1559
dblp:wrote	pub_92271	0.1016
dblp:wrote	pub_34467	0.0940
dblp:wrote	pub_52366	0.0624
dblp:hasAuthor	author_24778	0.0675
dblp:inYear	year_52	0.1163
dblp:publishedIn	venue_1491	0.1527
dblp:inYear	year_53	0.1030
dblp:hasAuthor	author_54014	0.1006
dblp:inYear	year_42	0.1255
dblp:publishedIn	venue_920	0.1369
dblp:inYear	year_53	0.1051
dblp:wrote	pub_186903	0.0916
dblp:wrote	pub_47558	0.0722
dblp:hasAuthor	author_258625	0.1347
dblp:wrote	pub_142142	0.1133
dblp:inYear	year_51	0.1423
dblp:hasAuthor	author_41211	0.0824
dblp:hasAuthor	author_235669	0.0807
dblp:wrote	pub_116654	0.0825
dblp:inYear	year_57	0.1169
dblp:wrote	pub_91956	0.0954
dblp:hasAuthor	author_143603	0.1357
dblp:inYear	year_61	0.1365
dblp:wrote	pub_116802	0.0858
dblp:wrote	pub_168366	0.0876
dblp:wrote	pub_84098	0.0942
dblp:hasAuthor	author_179988	0.1035
dblp:publishedIn	venue_936	0.1099
dblp:hasAuthor	author_55190	0.1827
dblp:inYear	year_57	0.1004
dblp:wrote	pub_130588	0.1078
dblp:hasAuthor	author_137087	0.0926
dblp:wrote	pub_70194	0.1226
dblp:wrote	pub_144573	0.0888
dblp:wrote	pub_45227	0.1217
dblp:wrote	pub_39044	0.1130
dblp:hasAuthor	author_249555	0.1204
dblp:hasAuthor	author_230675	0.0961
dblp:hasAuthor	author_119522	0.1001
dblp:inYear	year_53	0.1032
dblp:hasAuthor	author_176028	0.1009
dblp:hasAuthor	author_182751	0.1061
dblp:publishedIn	venue_796	0.1436
dblp:wrote	pub_95479	0.0958
dblp:publishedIn	venue_1087	0.1103
dblp:inYear	year_53	0.1331
dblp:wrote	pub_8107	0.1053
dblp:publishedIn	venue_986	0.1370
dblp:hasAuthor	author_28534	0.0732
dblp:wrote	pub_175188	0.1120
dblp:hasAuthor	author_132904	0.0929
dblp:hasAuthor	author_87748	0.0723
dblp:wrote	pub_28445	0.1055
dblp:inYear	year_53	0.1150
dblp:publishedIn	venue_1214	0.1753
dblp:inYear	year_43	0.1143
dblp:publishedIn	venue_907	0.1176
dblp:hasAuthor	author_152342	0.1096
dblp:inYear	year_53	0.1077
dblp:hasAuthor	author_157293	0.1311
dblp:inYear	year_53	0.1070
dblp:inYear	year_53	0.1041
dblp:publishedIn	venue_936	0.1343
dblp:publishedIn	venue_567	0.1379
dblp:hasAuthor	author_36737	0.1058
dblp:publishedIn	venue_567	0.1490
dblp:hasAuthor	author_74191	0.0926
dblp:publishedIn	venue_541	0.1507
dblp:publishedIn	venue_310	0.1164
dblp:inYear	year_61	0.1962
dblp:inYear	year_38	0.1441
dblp:publishedIn	venue_1681	0.1414
dblp:hasAuthor	author_72203	0.0921
dblp:hasAuthor	author_147305	0.1082
dblp:wrote	pub_22679	0.0856
dblp:hasAuthor	author_83337	0.1085
dblp:publishedIn	venue_1624	0.1334
dblp:wrote	pub_188329	0.0952
dblp:wrote	pub_88796	0.1743
dblp:wrote	pub_110437	0.0587
dblp:publishedIn	venue_187	0.1267
dblp:publishedIn	venue_907	0.1155
dblp:wrote	pub_29796	0.1144
dblp:hasAuthor	author_23567	0.0971
dblp:publishedIn	venue_187	0.1295
dblp:inYear	year_61	0.2326
dblp:inYear	year_57	0.1159
dblp:publishedIn	venue_749	0.1286
dblp:publishedIn	venue_725	0.1774
dblp:inYear	year_53	0.0956
dblp:hasAuthor	author_114143	0.1567
dblp:hasAuthor	author_211788	0.0776
dblp:wrote	pub_38986	0.0720
dblp:publishedIn	venue_1192	0.0975
dblp:wrote	pub_37510	0.0822
dblp:inYear	year_53	0.0996
dblp:inYear	year_43	0.1277
dblp:wrote	pub_80280	0.1035
dblp:wrote	pub_150799	0.0967
dblp:wrote	pub_2527	0.1021
dblp:publishedIn	venue_310	0.1163
dblp:inYear	year_43	0.0953
dblp:wrote	pub_163185	0.0999
dblp:inYear	year_57	0.1272
dblp:wrote	pub_4784	0.1039
dblp:publishedIn	venue_219	0.1452
dblp:wrote	pub_111427	0.0919
dblp:publishedIn	venue_337	0.1720
dblp:wrote	pub_119527	0.0910
dblp:hasAuthor	author_173119	0.1777
dblp:wrote	pub_85860	0.1015
dblp:wrote	pub_120118	0.1025
dblp:publishedIn	venue_1214	0.1377
dblp:inYear	year_51	0.1209
dblp:publishedIn	venue_907	0.1303
dblp:hasAuthor	author_10391	0.0781
dblp:publishedIn	venue_749	0.1412
dblp:wrote	pub_10636	0.1134
dblp:wrote	pub_60703	0.1078
dblp:inYear	year_25	0.1153
dblp:inYear	year_57	0.0878
dblp:hasAuthor	author_74191	0.1124
dblp:wrote	pub_98045	0.0869
dblp:publishedIn	venue_905	0.1304
dblp:publishedIn	venue_219	0.2028
dblp:publishedIn	venue_986	0.1128
dblp:publishedIn	venue_936	0.1354
dblp:hasAuthor	author_72877	0.1071
dblp:wrote	pub_37692	0.1175
dblp:publishedIn	venue_907	0.1114
dblp:hasAuthor	author_111566	0.1851
dblp:hasAuthor	author_45926	0.1347
dblp:wrote	pub_147622	0.0960
dblp:publishedIn	venue_346	0.1441
dblp:hasAuthor	author_208765	0.0742
dblp:wrote	pub_166957	0.0929
dblp:wrote	pub_4880	0.0862
dblp:publishedIn	venue_749	0.1132
dblp:publishedIn	venue_1200	0.1558
dblp:inYear	year_57	0.0964
dblp:wrote	pub_155555	0.0827
dblp:inYear	year_57	0.0960
dblp:hasAuthor	author_219558	0.1297
dblp:publishedIn	venue_936	0.1111
dblp:publishedIn	venue_663	0.1657
dblp:publishedIn	venue_1539	0.1200
dblp:wrote	pub_25128	0.1022
dblp:publishedIn	venue_567	0.1205
dblp:wrote	pub_80733	0.0715
dblp:inYear	year_53	0.1179
dblp:wrote	pub_134548	0.0911
dblp:publishedIn	venue_936	0.1356
dblp:inYear	year_53	0.1374
dblp:inYear	year_53	0.1301
dblp:publishedIn	venue_426	0.1195
dblp:wrote	pub_87235	0.0902
dblp:wrote	pub_60050	0.1125
dblp:publishedIn	venue_437	0.1157
dblp:publishedIn	venue_543	0.1239
dblp:wrote	pub_74465	0.0981
dblp:wrote	pub_52668	0.0933
dblp:hasAuthor	author_177567	0.1265
dblp:inYear	year_30	0.1076
dblp:wrote	pub_56880	0.0992
dblp:inYear	year_57	0.1170
dblp:inYear	year_57	0.1088
dblp:wrote	pub_44834	0.0983
dblp:publishedIn	venue_1290	0.1179
dblp:hasAuthor	author_160472	0.0889
dblp:wrote	pub_136471	0.1183
dblp:hasAuthor	author_45993	0.0954
dblp:wrote	pub_82704	0.0784
dblp:wrote	pub_22043	0.1114
dblp:wrote	pub_21565	0.1083
dblp:hasAuthor	author_235026	0.1234
dblp:wrote	pub_133518	0.1088
dblp:wrote	pub_161933	0.1034
dblp:wrote	pub_111038	0.1108
dblp:inYear	year_57	0.1025
dblp:publishedIn	venue_1648	0.1092
dblp:publishedIn	venue_37	0.1200
dblp:wrote	pub_95585	0.1228
dblp:publishedIn	venue_1290	0.1072
dblp:publishedIn	venue_1214	0.1211
dblp:publishedIn	venue_1668	0.1659
dblp:inYear	year_57	0.0906
dblp:inYear	year_51	0.0930
dblp:inYear	year_53	0.1149
dblp:publishedIn	venue_37	0.1294
dblp:hasAuthor	author_228372	0.0973
dblp:inYear	year_54	0.1122
dblp:wrote	pub_106903	0.0984
dblp:wrote	pub_30292	0.0982
dblp:publishedIn	venue_1250	0.1812
dblp:hasAuthor	author_174781	0.0913
dblp:hasAuthor	author_247813	0.0675
dblp:publishedIn	venue_1250	0.1416
dblp:wrote	pub_113327	0.1003
dblp:inYear	year_53	0.0991
dblp:inYear	year_51	0.1038
dblp:hasAuthor	author_108197	0.1210
dblp:inYear	year_53	0.1122
dblp:inYear	year_57	0.1508
dblp:hasAuthor	author_223126	0.0979
dblp:wrote	pub_148374	0.0766
dblp:inYear	year_53	0.1297
dblp:publishedIn	venue_1062	0.1318
dblp:inYear	year_30	0.1258
dblp:publishedIn	venue_1087	0.1417
dblp:wrote	pub_183514	0.0898
dblp:hasAuthor	author_237220	0.1248
dblp:hasAuthor	author_160757	0.1360
dblp:hasAuthor	author_60153	0.0826
dblp:wrote	pub_116977	0.1072
dblp:inYear	year_51	0.1024
dblp:hasAuthor	author_42239	0.0605
dblp:wrote	pub_34629	0.1275
dblp:publishedIn	venue_936	0.1069
dblp:wrote	pub_157011	0.0963
dblp:publishedIn	venue_1668	0.1742
dblp:hasAuthor	author_11413	0.0811
dblp:inYear	year_56	0.1186
dblp:hasAuthor	author_158073	0.0994
dblp:wrote	pub_64022	0.0867
dblp:inYear	year_61	0.1268
dblp:publishedIn	venue_37	0.1124
dblp:hasAuthor	author_100682	0.1253
dblp:inYear	year_53	0.1148
dblp:hasAuthor	author_225804	0.1078
dblp:publishedIn	venue_437	0.1401
dblp:wrote	pub_112325	0.0973
dblp:publishedIn	venue_1649	0.1343
dblp:publishedIn	venue_1221	0.1335
dblp:publishedIn	venue_337	0.1447
dblp:wrote	pub_43386	0.1189
dblp:inYear	year_53	0.1250
dblp:inYear	year_54	0.1162
dblp:wrote	pub_85715	0.0754
dblp:hasAuthor	author_69879	0.1382
dblp:inYear	year_53	0.1351
